city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
克州,57,28,62,1.2,6,39,32,5
库尔勒,117,88,153,1.9,40,23,21,10
昆明,46,27,45,1.0,35,66,37,12
昆山,54,31,56,0.85,24,86,22,11
来宾,163,123,186,1.9,43,30,12,38
莱芜,78,41,104,0.73,14,77,60,24
莱西,58,15,64,0.35,2,70,66,12
莱州,0,0,0,0.0,0,0,0,0
廊坊,35,12,34,0.38,13,60,58,3
兰州,69,45,86,1.72,67,42,23,28
拉萨,33,17,32,0.55,19,49,30,5
乐山,168,127,169,1.38,49,33,17,10
凉山州,67,48,76,1.24,36,58,31,38
连云港,66,29,80,0.78,25,60,38,15
聊城,75,50,98,0.7,22,69,42,20
辽阳,68,25,84,0.63,12,48,40,8
辽源,86,63,79,0.6,7,62,27,13
丽江,38,12,37,0.57,8,76,68,4
临安,164,124,183,1.2,18,22,9,1
临沧,66,40,80,1.1,28,55,25,21
临汾,115,86,143,1.76,31,68,31,53
临夏州,71,45,89,1.8,35,46,20,33
临沂,96,40,140,0.5,23,53,34,15
林芝,36,11,16,2.15,6,80,71,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,105,78,107,0.77,50,34,20,13
六盘水,52,33,52,0.94,21,30,27,20
柳州,168,127,157,1.37,46,18,16,32
溧阳,131,99,135,1.35,50,74,31,13
陇南,64,43,76,0.9,37,59,25,16
龙岩,71,49,89,0.85,49,45,16,16
娄底,132,81,211,1.83,64,22,10,14
六安,210,159,212,1.2,40,56,32,15
漯河,167,126,237,1.2,38,36,16,19
洛阳,147,112,203,1.0,39,36,16,17
泸州,154,117,142,0.77,54,16,9,20
吕梁,144,110,186,2.03,62,16,10,96
马鞍山,135,102,143,1.23,52,83,41,16
茂名,83,61,101,0.9,22,108,91,31
眉山,158,120,181,1.33,71,10,7,17
梅州,81,59,87,1.1,39,84,24,11
绵阳,186,140,220,1.25,68,8,3,21
牡丹江,57,37,61,0.48,17,56,24,4
南昌,83,54,113,0.73,48,58,20,22
南充,177,133,170,1.1,39,20,16,5
南京,157,119,181,1.36,88,31,15,22
南宁,85,62,95,0.99,54,79,49,14
南平,60,42,59,0.83,26,67,39,10
南通,52,33,51,0.5,12,91,36,7
南阳,214,163,239,1.7,52,44,46,21
那曲地区,50,31,49,0.87,6,51,42,4
内江,130,98,130,1.23,54,11,13,17
宁波,143,109,151,1.19,91,76,36,21
宁德,78,57,90,0.93,29,103,64,8
怒江州,116,53,179,0.95,22,41,27,9
盘锦,43,8,42,0.57,7,72,63,9
攀枝花,75,52,97,1.0,72,30,10,79
蓬莱,46,12,45,0.35,3,90,87,11
平顶山,115,86,177,1.58,38,50,31,25
平度,64,9,76,0.65,5,73,66,8
平凉,59,32,65,0.6,25,71,52,13
萍乡,124,93,155,2.24,50,35,20,36
普洱,51,21,50,0.55,26,62,25,4
莆田,56,30,60,0.62,21,111,68,7
濮阳,60,42,65,0.9,22,55,25,16
黔东南州,92,68,83,1.2,33,28,34,31
黔南州,45,28,44,0.6,14,27,25,6
黔西南州,66,47,61,0.95,14,39,23,3
青岛,76,30,99,0.58,18,58,42,9
庆阳,71,24,90,0.57,17,54,50,17
清远,124,93,115,1.33,63,46,21,13
秦皇岛,29,11,25,0.7,8,72,56,9
钦州,63,43,74,0.87,13,111,89,22
齐齐哈尔,36,17,35,0.4,9,57,48,39
七台河,60,42,62,0.37,16,56,40,15
泉州,58,37,64,0.5,22,110,77,8
曲靖,81,59,93,0.95,25,42,25,17
衢州,124,93,147,0.9,61,22,10,9
日喀则,47,28,46,0.95,15,39,28,11
日喀则地区,29,6,27,0.35,2,68,56,5
日照,72,36,92,0.53,17,72,54,11
荣成,55,11,58,0.4,14,73,64,6
乳山,63,8,73,0.65,12,74,66,10
三门峡,212,161,212,2.0,67,30,8,39
三明,75,54,85,2.53,42,17,6,31
三沙,30,7,20,0.3,30,51,58,6
三亚,51,18,33,0.45,7,110,100,4
上海,36,25,29,0.51,39,78,27,9
商洛,70,35,88,0.75,23,56,41,9
商丘,128,97,141,1.1,34,32,16,17
上饶,92,63,132,1.33,49,44,21,31
山南,29,11,28,0.65,10,64,57,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,63,44,67,0.74,24,130,84,13
汕尾,62,34,71,0.8,16,116,90,8
韶关,77,56,82,1.2,32,59,18,22
绍兴,214,163,262,1.14,89,51,26,13
邵阳,146,111,138,1.48,55,11,6,18
沈阳,50,22,49,0.58,12,57,34,12
深圳,63,44,72,0.81,37,100,58,8
石河子,276,225,398,2.85,74,9,6,24
石家庄,72,52,83,0.94,30,53,18,20
十堰,121,91,153,1.43,65,27,28,21
石嘴山,76,36,100,1.4,26,42,21,54
寿光,45,12,44,0.6,13,63,53,13
双鸭山,30,21,24,0.5,8,59,34,10
朔州,86,38,119,0.82,18,54,25,35
四平,54,33,56,0.83,10,50,20,6
松原,29,13,28,0.3,3,56,44,5
绥化,52,17,52,0.55,3,47,38,11
遂宁,127,96,131,0.85,47,10,10,10
随州,178,134,187,1.47,48,55,18,16
宿迁,135,102,149,1.06,36,37,19,14
苏州,56,39,55,0.64,56,52,18,11
宿州,205,154,224,1.4,50,38,36,15
塔城地区,68,24,83,1.6,25,59,59,4
泰安,70,35,88,0.83,15,72,45,14
太仓,48,33,43,0.8,24,93,30,14
太原,74,43,95,1.04,31,49,31,27
台州,125,94,154,0.9,62,70,50,10
泰州,74,53,84,0.78,29,78,41,11
唐山,42,21,41,0.48,12,59,25,6
天津,61,16,69,0.76,21,62,31,14
天水,43,26,42,0.9,16,79,52,16
铁岭,57,28,62,0.3,10,60,34,8
铜川,94,70,101,1.2,36,47,31,41
通化,156,118,154,0.8,15,50,12,14
通辽,26,15,24,0.35,5,59,51,6
铜陵,247,196,233,1.55,85,38,21,32
铜仁地区,142,108,138,1.65,54,5,6,5
吐鲁番地区,158,120,249,2.9,55,17,15,18
瓦房店,66,13,79,0.3,13,68,58,16
潍坊,59,10,65,0.36,13,63,55,9
威海,57,8,61,0.33,9,69,66,7
渭南,94,52,136,0.8,38,33,16,13
文登,86,11,120,0.7,57,69,63,8
文山州,29,20,25,0.85,10,28,28,2
温州,94,70,129,0.9,56,50,42,10
乌海,52,16,51,0.47,18,45,36,15
武汉,156,118,138,0.88,53,50,15,12
芜湖,199,149,0,1.18,67,59,28,16
吴江,61,37,70,0.8,47,69,19,14
五家渠,384,333,464,3.6,49,23,9,4
乌兰察布,25,15,24,0.25,9,61,43,20
乌鲁木齐,262,211,315,2.6,61,20,15,6
武威,79,44,106,1.3,28,52,31,25
无锡,65,36,78,0.89,40,70,19,13
吴忠,87,37,122,0.83,30,29,13,45
梧州,97,72,121,1.45,63,42,16,16
厦门,56,37,60,0.68,25,94,53,6
西安,86,41,119,0.75,38,35,23,11
湘潭,189,142,153,1.29,51,44,20,19
湘西州,128,97,138,1.4,40,15,10,15
襄阳,231,180,268,1.83,61,35,27,22
咸宁,131,86,210,0.98,55,30,18,10
咸阳,90,45,127,0.94,34,40,30,12
孝感,143,109,168,1.25,30,62,24,14
锡林郭勒盟,23,4,22,0.2,7,63,39,33
兴安盟,31,9,30,0.1,6,68,55,2
邢台,69,49,69,0.95,21,71,29,21
西宁,105,78,120,2.5,48,50,37,24
新乡,68,37,83,0.75,23,64,37,14
信阳,249,198,262,1.68,54,35,31,15
新余,87,64,122,0.72,40,68,25,39
忻州,63,27,73,0.97,32,41,19,48
西双版纳州,51,26,50,0.55,23,41,14,4
宣城,215,164,0,1.27,50,87,62,27
许昌,97,68,142,1.43,33,47,20,19
徐州,140,101,227,0.91,29,47,20,14
雅安,170,128,160,0.93,21,39,26,6
延安,70,33,87,0.83,39,31,10,24
延边州,74,53,78,0.67,14,61,35,11
盐城,58,39,63,0.54,14,79,41,8
阳江,60,41,68,0.73,19,118,93,8
阳泉,149,114,182,1.9,56,35,13,34
扬州,99,74,118,0.82,44,63,32,12
烟台,67,13,81,0.2,6,67,60,5
宜宾,188,141,186,1.23,58,16,9,18
宜昌,229,178,207,1.58,53,9,5,12
宜春,83,61,104,0.77,34,55,27,22
伊春,27,5,13,0.43,6,58,53,6
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,139,106,121,2.83,57,27,18,36
银川,67,30,81,1.27,27,40,26,46
营口,53,21,53,0.48,11,71,55,6
鹰潭,100,75,105,0.86,43,53,18,70
义乌,67,48,0,1.0,66,64,24,15
宜兴,67,48,0,1.5,34,52,26,13
益阳,221,170,198,1.48,43,31,20,15
永州,147,112,160,1.2,60,13,5,15
岳阳,165,125,173,1.34,51,25,20,8
玉林,124,93,154,1.17,48,109,77,62
榆林,74,35,95,1.19,54,23,18,35
运城,222,171,254,2.42,86,22,13,71
云浮,115,86,101,0.93,49,68,31,15
玉树州,20,0,0,0.5,5,63,38,5
玉溪,68,34,83,2.6,49,37,20,19
枣庄,113,73,173,0.74,30,57,31,13
张家港,65,46,47,1.15,42,77,34,16
张家界,127,96,163,1.48,44,31,28,9
张家口,34,10,18,0.44,9,73,66,8
章丘,65,28,77,0.5,12,72,51,26
张掖,65,46,73,0.8,29,89,37,20
漳州,99,74,117,0.7,27,103,42,6
湛江,71,32,46,0.66,13,122,123,5
肇庆,133,101,132,1.02,90,40,16,15
昭通,56,26,60,0.9,27,54,57,20
招远,50,9,49,0.25,10,86,79,11
郑州,82,47,111,0.94,28,53,28,15
镇江,106,79,137,1.48,58,49,16,18
中山,63,44,71,0.6,41,115,39,7
中卫,74,30,96,0.73,20,42,31,20
周口,142,108,193,1.4,38,30,19,17
舟山,55,38,54,0.73,16,98,47,6
珠海,60,42,67,0.8,49,92,57,10
诸暨,158,120,144,1.0,49,72,27,8
驻马店,205,154,256,1.5,50,30,15,21
株洲,125,94,115,0.76,63,28,18,13
淄博,56,27,59,0.47,9,67,46,12
自贡,132,100,148,1.05,48,20,21,14
资阳,171,129,180,1.26,64,9,8,10
遵义,42,29,39,0.68,21,32,25,17
